date,symbol,open,high,low,close
2025-03-05 20:00:00,BTC,88337.0,90468.0,87737.0,89841.0
2025-03-05 20:00:00,ETH,2184.74,2224.79,2168.29,2217.84
2025-03-06 00:00:00,ETH,2223.92,2246.42,2216.03,2241.38
2025-03-06 00:00:00,BTC,90046.0,90829.0,89724.0,90604.0
2025-03-06 04:00:00,ETH,2242.3,2286.56,2238.56,2283.48
2025-03-06 04:00:00,BTC,90655.0,91917.0,90102.0,91455.0
2025-03-06 08:00:00,BTC,91778.0,92756.0,91323.0,91323.0
2025-03-06 08:00:00,ETH,2291.05,2317.43,2278.96,2285.81
2025-03-06 12:00:00,BTC,91331.0,91680.0,90679.0,91368.0
2025-03-06 12:00:00,ETH,2284.96,2307.82,2281.01,2296.58
2025-03-06 16:00:00,BTC,91336.0,91336.0,89335.0,90693.0
2025-03-06 16:00:00,ETH,2296.04,2296.04,2213.42,2253.68
2025-03-06 20:00:00,BTC,90862.0,90976.0,88020.0,89057.0
2025-03-06 20:00:00,ETH,2257.87,2262.02,2183.06,2211.6
2025-03-07 00:00:00,BTC,88918.0,90547.0,88616.0,90001.0
2025-03-07 00:00:00,ETH,2205.29,2224.73,2194.05,2202.32
2025-03-07 04:00:00,BTC,89924.0,90121.0,84972.0,87068.0
2025-03-07 04:00:00,ETH,2201.04,2231.49,2104.64,2150.55
2025-03-07 08:00:00,ETH,2147.17,2191.06,2147.17,2185.27
2025-03-07 08:00:00,BTC,86964.0,88558.0,86964.0,88223.0
2025-03-07 12:00:00,BTC,88321.0,89555.0,88066.0,88902.0
2025-03-07 12:00:00,ETH,2190.37,2211.84,2180.61,2192.74
2025-03-07 16:00:00,ETH,2197.38,2244.58,2167.8,2209.77
2025-03-07 16:00:00,BTC,89073.0,90940.0,88303.0,88739.0
2025-03-07 20:00:00,BTC,88400.0,88955.0,86702.0,87690.0
2025-03-07 20:00:00,ETH,2206.96,2206.96,2147.52,2168.57
2025-03-08 00:00:00,BTC,87732.0,88203.0,85842.0,86773.0
2025-03-08 00:00:00,ETH,2172.31,2183.08,2121.96,2140.75
2025-03-08 04:00:00,BTC,86720.0,86839.0,85303.0,85908.0
2025-03-08 04:00:00,ETH,2139.37,2150.48,2114.1,2136.85
2025-03-08 08:00:00,ETH,2137.11,2152.1,2132.0,2134.66
2025-03-08 08:00:00,BTC,85924.0,86611.0,85665.0,86159.0
2025-03-08 12:00:00,ETH,2140.34,2141.95,2127.16,2135.28
2025-03-08 12:00:00,BTC,86309.0,86401.0,85765.0,85838.0
2025-03-08 16:00:00,ETH,2140.25,2190.15,2138.58,2181.58
2025-03-08 16:00:00,BTC,85922.0,86547.0,85836.0,86372.0
2025-03-08 20:00:00,BTC,86336.0,86411.0,85739.0,86301.0
2025-03-08 20:00:00,ETH,2181.51,2224.49,2163.94,2224.49
2025-03-09 00:00:00,BTC,86205.0,86467.0,85918.0,86143.0
2025-03-09 00:00:00,ETH,2222.28,2223.18,2194.9,2200.0
2025-03-09 04:00:00,ETH,2201.42,2207.54,2176.61,2186.46
2025-03-09 04:00:00,BTC,86173.0,86483.0,85962.0,86164.0
2025-03-09 08:00:00,ETH,2185.35,2191.55,2173.38,2182.5
2025-03-09 08:00:00,BTC,86091.0,86105.0,85848.0,85896.0
2025-03-09 12:00:00,BTC,85977.0,85977.0,84753.0,84961.0
2025-03-09 12:00:00,ETH,2184.46,2184.46,2133.82,2145.99
2025-03-09 16:00:00,BTC,85037.0,85037.0,83024.0,83029.0
2025-03-09 16:00:00,ETH,2147.99,2147.99,2094.06,2094.06
2025-03-09 20:00:00,ETH,2095.23,2105.93,2014.24,2046.08
2025-03-09 20:00:00,BTC,83053.0,83631.0,82279.0,82735.0
2025-03-10 00:00:00,ETH,2042.62,2050.66,2007.6,2017.27
2025-03-10 00:00:00,BTC,82655.0,83348.0,80183.0,80751.0
2025-03-10 04:00:00,ETH,2017.28,2066.29,2001.26,2058.45
2025-03-10 04:00:00,BTC,80675.0,82648.0,80124.0,82106.0
2025-03-10 08:00:00,ETH,2057.35,2075.49,2056.39,2072.58
2025-03-10 08:00:00,BTC,82040.0,82661.0,82040.0,82349.0
2025-03-10 12:00:00,BTC,82343.0,83690.0,81313.0,83209.0
2025-03-10 12:00:00,ETH,2074.04,2146.48,2044.35,2129.53
2025-03-10 16:00:00,ETH,2138.01,2138.01,2002.41,2026.67
2025-03-10 16:00:00,BTC,83620.0,83627.0,79367.0,80261.0
2025-03-10 20:00:00,ETH,2019.75,2019.75,1829.01,1864.88
2025-03-10 20:00:00,BTC,80036.0,80036.0,77495.0,78906.0
2025-03-11 00:00:00,ETH,1863.45,1896.06,1854.41,1879.12
2025-03-11 00:00:00,BTC,78863.0,79770.0,78658.0,78784.0
2025-03-11 04:00:00,ETH,1867.87,1881.1,1791.23,1857.27
2025-03-11 04:00:00,BTC,78537.0,79729.0,76784.0,79614.0
2025-03-11 08:00:00,ETH,1851.67,1902.59,1851.67,1902.59
2025-03-11 08:00:00,BTC,79475.0,80541.0,79475.0,80438.0
2025-03-11 12:00:00,ETH,1902.88,1924.8,1902.88,1915.97
2025-03-11 12:00:00,BTC,80348.0,81933.0,80348.0,81793.0
2025-03-11 16:00:00,ETH,1914.14,1918.58,1851.69,1915.81
2025-03-11 16:00:00,BTC,81709.0,81828.0,79271.0,81380.0
2025-03-11 20:00:00,BTC,81233.0,83458.0,80678.0,83122.0
2025-03-11 20:00:00,ETH,1914.5,1958.82,1890.44,1952.18
2025-03-12 00:00:00,ETH,1951.86,1951.86,1920.44,1921.31
2025-03-12 00:00:00,BTC,83135.0,83221.0,82586.0,82799.0
2025-03-12 04:00:00,ETH,1925.1,1930.18,1873.55,1873.55
2025-03-12 04:00:00,BTC,82943.0,83746.0,82142.0,82204.0
2025-03-12 08:00:00,ETH,1868.41,1914.71,1853.93,1914.71
2025-03-12 08:00:00,BTC,82085.0,82423.0,81371.0,82423.0
2025-03-12 12:00:00,ETH,1913.56,1944.18,1884.26,1912.06
2025-03-12 12:00:00,BTC,82422.0,82944.0,82048.0,82944.0
2025-03-12 16:00:00,BTC,83006.0,84074.0,80833.0,81764.0
2025-03-12 16:00:00,ETH,1915.59,1934.44,1841.97,1865.22
